,int.rate,log.annual.inc,dtai,fico,days.with.cr.line,inq.last.6mths,delinq.2yrs,default
7454,0.1311,10.91508846,6.37,687,3270.0,0,0,0
805,0.0832,11.5228758,11.75,737,6870.0,0,0,0
367,0.0951,10.38887228,15.84,717,1800.0,1,0,0
3728,0.1284,10.44348355,23.29,672,3000.0,2,0,0
1996,0.1632,9.998797732,8.67,662,1140.0,2,0,1
7444,0.0751,10.51053203,21.02,732,8643.041667,0,0,0
9519,0.1719,11.98292909,19.94,662,4440.0,0,0,0
1706,0.1316,11.24630014,13.39,697,4350.0,2,0,0
6266,0.1114,11.69524702,9.55,772,6120.0,0,0,0
8471,0.1134,10.23995979,5.14,677,816.9583332999999,1,0,0
5053,0.1426,11.22524339,8.02,687,3479.958333,3,0,0
9189,0.1461,11.91839057,16.8,722,6481.958333,7,0,0
5341,0.1531,10.81977828,22.9,662,2610.0,0,0,0
6329,0.1218,11.08214255,13.9,717,3780.041667,0,0,1
7722,0.1387,11.51292546,14.64,657,3498.0,1,0,0
7066,0.0774,9.392661928999999,14.9,757,5438.0,0,0,0
8218,0.152,10.54534144,5.81,647,2489.0,2,0,0
5936,0.1183,10.81154448,10.79,707,4320.0,2,1,1
8982,0.1568,11.40756495,8.28,667,3719.958333,5,1,0
5435,0.1392,10.30895266,20.16,697,1409.958333,1,0,1
3299,0.1568,11.02190247,10.98,717,9870.0,1,0,1
8181,0.1551,10.59663473,2.4,642,2490.0,3,0,0
9377,0.1531,11.22364211,8.06,707,1230.041667,5,0,1
3071,0.0963,11.22524339,18.67,732,5700.0,1,0,0
7456,0.1311,10.77895629,8.4,682,3750.0,1,0,0
1944,0.1379,10.71441777,9.07,682,5100.0,0,0,0
131,0.1249,11.35040654,6.38,667,7229.958333,3,4,0
5920,0.0774,11.12726298,1.71,802,7440.041667,0,0,0
5764,0.0894,11.00209984,24.12,757,5370.0,0,0,0
6214,0.1218,11.00209984,17.86,707,7170.041667,1,0,0
5913,0.1253,9.655026193,23.69,707,2580.041667,1,0,0
2864,0.08,12.10071213,7.26,772,13830.0,1,0,0
4124,0.1322,10.645424900000002,15.6,677,2013.9583329999998,0,0,0
7219,0.1062,11.35369524,17.58,707,6180.0,0,1,0
9070,0.1284,10.83958091,20.0,702,2760.0,5,0,0
5591,0.1531,10.49127422,21.87,667,1500.0,2,0,1
540,0.1071,10.42228135,20.11,717,2309.041667,1,0,0
4521,0.1843,10.563543199999998,9.86,667,2520.0,0,0,1
1447,0.102,10.645424900000002,11.09,707,2519.958333,2,0,0
4092,0.1189,11.12732181,19.76,707,3990.0,3,0,1
7855,0.1122,10.81977828,2.86,667,181.0,2,0,0
8146,0.152,10.49127422,18.53,642,3270.0,4,1,1
5496,0.16699999999999998,11.69524702,3.88,692,4650.958333,1,0,0
5210,0.1148,12.79385931,2.09,702,3660.0,1,0,0
377,0.1014,11.33857208,19.86,742,2763.041667,4,0,0
6363,0.1287,10.08580911,22.55,677,1920.0416670000002,1,0,0
7584,0.1062,10.46310334,8.91,692,6090.041667,2,1,1
5686,0.1565,10.90381461,9.84,687,5487.0,0,0,0
6427,0.1287,10.89362336,24.7,697,7380.041667,2,0,0
3236,0.1126,11.95632841,7.34,762,3749.958333,1,0,0
6539,0.1565,9.952277717000001,19.14,667,4520.041667,0,0,0
7608,0.183,12.7367009,11.99,752,5190.0,7,0,0
7591,0.1273,11.01862914,15.76,682,5340.041667,1,0,1
2587,0.1316,10.85892207,16.87,732,7799.958333,0,0,1
5217,0.0774,10.59663473,7.47,732,3509.958333,2,0,0
2729,0.1284,11.38495936,1.95,787,2730.0,1,0,0
3969,0.1537,10.91508846,8.51,672,4410.0,1,0,0
3612,0.1347,10.68281243,13.13,687,9840.0,2,1,1
1024,0.1071,11.08214255,6.77,692,3389.958333,2,0,0
6105,0.0774,11.192720199999998,13.72,757,3690.041667,0,0,0
5978,0.0774,10.25765937,17.64,767,5610.041667,1,0,0
1543,0.1392,11.38962725,24.94,692,4975.958333,1,0,0
8874,0.1474,11.15625052,24.89,672,6390.041667,2,0,1
8346,0.1734,11.38509209,10.73,652,4230.041667,0,4,1
2312,0.1253,9.998615897999999,23.73,707,1620.041667,3,0,0
506,0.0976,9.92329018,18.35,742,2879.0,1,0,0
976,0.0945,10.27505111,17.63,722,4320.0,0,0,0
6112,0.1218,10.92665765,23.72,727,5520.041667,1,0,0
3128,0.1095,10.04966366,14.46,727,3510.0,1,0,1
8371,0.1545,11.06663836,21.6,657,2729.041667,4,0,0
2176,0.1253,10.08580911,11.85,702,4441.0,1,0,0
4833,0.1635,10.98529272,2.87,762,2580.0,1,0,0
269,0.1438,11.32659589,16.05,667,2190.0,0,0,0
3034,0.0963,10.30895266,0.68,717,2820.0,0,0,0
2828,0.0932,10.5865844,24.45,757,8970.0,2,0,0
6174,0.1287,10.49127422,18.23,682,9600.041667,3,0,0
724,0.1134,11.51292546,1.2,682,5130.0,3,0,0
7496,0.1099,11.13675106,12.27,722,2160.0,1,0,0
2350,0.1474,10.85892207,10.87,677,2790.041667,1,1,0
6354,0.1426,10.49127422,18.37,667,5130.0,2,0,0
5688,0.1183,9.764225485,20.34,732,1920.0416670000002,1,0,1
6481,0.0894,10.46310334,7.58,752,2610.041667,1,0,0
3996,0.1126,10.98778115,18.2,712,7469.958333,1,0,0
2563,0.1695,10.75790288,0.38,687,5640.0,0,0,0
988,0.08,10.59663473,5.7,762,9599.958333,3,0,0
346,0.1172,10.57821615,17.2,667,1410.0,0,1,0
3055,0.1411,12.15477935,21.4,682,5430.0,2,0,0
9369,0.0894,12.69207904,9.73,727,5250.041667,4,0,0
1431,0.1114,10.621424900000001,21.92,722,2640.0,2,0,0
6833,0.0859,11.112447900000001,7.54,782,8370.0,0,0,0
7769,0.1312,10.37349118,7.91,652,5609.958333,3,0,0
895,0.145,11.00209984,21.72,697,8489.958333,0,0,0
3857,0.1505,11.03488966,23.75,677,3570.0,1,0,0
1334,0.138,10.77895629,1.35,662,1890.0,0,0,0
5508,0.1496,10.645424900000002,3.71,667,1920.0,0,0,0
964,0.1134,11.56171563,11.04,677,1650.0,2,0,0
5392,0.1114,10.85417971,24.7,737,3240.958333,1,0,0
9157,0.1821,10.59563423,13.27,667,2550.0,9,0,1
4288,0.1392,11.28603741,17.09,697,4684.0,0,0,0
3650,0.1158,10.16585182,15.05,692,3450.958333,3,1,1
8640,0.1355,10.71441777,17.63,657,1050.0,1,0,0
2652,0.1426,10.57387775,21.88,737,2681.0,3,0,1
1717,0.0963,10.23995979,1.76,772,2310.041667,1,0,0
4956,0.1148,11.51292546,11.02,752,3239.958333,3,0,0
8633,0.08,9.546812609,1.29,737,390.0,2,0,0
6132,0.1218,11.26446411,8.58,742,3990.0,2,0,1
2829,0.1442,10.52268675,22.13,682,3329.958333,1,0,0
1524,0.0907,10.81977828,9.62,752,6150.0,0,0,0
47,0.0838,10.37349118,14.78,772,4379.0,0,0,0
9473,0.1496,9.92329018,4.76,672,3180.041667,5,0,1
7690,0.1099,9.61580548,0.0,752,1680.0416670000002,0,0,1
641,0.0945,10.70324447,0.81,797,3450.041667,1,0,0
7135,0.1645,12.61153775,6.77,717,3870.041667,3,0,0
248,0.1028,10.77895629,17.65,687,2070.0,2,0,0
8332,0.1861,11.9511804,28.17,657,7380.0,4,0,1
2245,0.1474,11.20536716,7.59,687,4740.0,2,0,0
4232,0.1114,11.49679608,12.45,732,4890.041667,3,0,0
9055,0.1474,11.15625052,18.77,687,2130.0,5,0,0
8091,0.1691,10.37349118,27.15,652,3450.041667,0,0,0
8610,0.1229,11.03488966,26.74,737,5430.0,6,0,1
7548,0.0988,11.51292546,9.55,727,3000.0,0,0,0
8898,0.1347,9.392661928999999,9.9,697,1110.0,4,0,1
2926,0.1474,9.814656338999999,2.56,687,1470.0,0,0,0
8463,0.145,10.77895629,19.63,657,4379.958333,6,0,1
6090,0.1357,11.15625052,5.69,672,6770.041667,1,3,0
4813,0.1253,11.40534025,18.72,712,2910.0,0,0,0
9024,0.16,10.75790288,0.89,662,2669.958333,4,2,0
8887,0.1474,10.1266311,14.16,712,6420.041667,8,0,0
5934,0.1183,11.08214255,13.79,722,4710.0,0,0,0
2404,0.1189,11.22524339,3.06,752,3750.0,0,0,1
1310,0.1033,10.645424900000002,0.0,772,7529.958333,6,0,0
4822,0.1148,10.49127422,22.47,737,4020.0,1,0,0
9438,0.1565,10.71441777,18.72,667,1800.0,5,0,0
1506,0.1083,10.46310334,17.62,712,2640.041667,0,0,0
5305,0.1426,10.53209621,14.78,687,4110.0,3,0,0
758,0.0768,10.30895266,2.52,762,3840.0,0,0,0
979,0.1166,11.0090258,19.58,697,5519.958333,0,0,1
8837,0.1715,12.30951332,12.7,672,3179.958333,6,0,0
7223,0.1311,10.40426284,8.25,687,6635.0,2,1,1
9305,0.1913,11.55166529,16.52,672,5485.0,6,0,0
7213,0.1533,10.34174248,11.26,667,1560.041667,0,0,0
9153,0.1253,11.55022125,3.79,727,2610.0,4,0,1
2359,0.1379,11.16863071,24.91,692,8850.0,0,1,0
7626,0.1422,10.87804719,16.69,667,4710.0,0,1,0
9089,0.1221,11.15619338,15.82,707,5314.0,3,0,0
7414,0.0751,11.15625052,11.49,747,3240.0,4,0,0
8122,0.1457,11.29476946,26.49,692,5160.0,6,0,0
8903,0.1316,10.49127422,22.6,712,5393.041667,1,0,1
997,0.0737,10.59663473,12.9,777,10259.95833,0,0,0
7712,0.16,11.26446411,19.34,682,3780.041667,5,0,0
7958,0.1375,10.99373159,18.51,647,7110.0,4,2,0
2908,0.0963,10.91508846,9.16,747,7049.958333,0,0,0
63,0.1186,10.49551521,7.47,667,2550.0,2,0,0
6324,0.1426,10.93131966,15.65,682,2610.041667,3,0,0
5679,0.2121,11.73606902,19.87,662,7920.0,1,0,1
2103,0.08,9.903687533,13.74,777,10411.04167,0,0,0
465,0.0983,10.77895629,11.93,717,6329.041667,0,1,0
8602,0.1103,11.26076496,18.24,687,10379.95833,1,0,1
9294,0.1426,11.22251969,9.56,682,10889.95833,6,0,0
4173,0.0774,9.61580548,15.6,757,6870.0,2,0,0
9143,0.1442,10.27505111,1.61,697,1110.0,6,0,0
5765,0.07400000000000001,10.41331268,3.46,752,3330.041667,2,0,0
2362,0.1821,10.55518754,10.76,672,1980.0416670000002,0,0,0
5598,0.1531,11.86358234,7.31,747,5850.0,0,0,0
1897,0.1126,10.65735347,18.15,722,2674.041667,0,0,0
2389,0.1284,11.51292546,19.26,717,4140.0,2,0,0
5367,0.1635,11.40756495,17.43,677,4410.0,0,0,0
4590,0.07400000000000001,11.65268741,6.4,772,4949.958333,0,0,0
95,0.0775,10.71441777,5.0,762,2131.0,2,0,0
5900,0.0774,10.30895266,17.68,752,6090.0,0,0,0
7538,0.0714,11.15910359,6.31,747,4260.041667,1,0,0
7173,0.1459,11.1078103,23.52,682,4380.0,1,0,0
2283,0.1695,11.65268741,15.74,677,5190.0,0,1,0
7259,0.1025,10.71441777,14.88,717,4470.0,1,0,0
5478,0.1496,10.59778407,19.78,687,1170.0,0,0,0
7445,0.1273,10.60757467,22.91,687,2642.0,0,0,0
1386,0.0938,11.49685706,19.36,732,6000.0,2,0,0
204,0.1186,10.59663473,7.02,667,2789.041667,0,2,1
8211,0.1772,11.30684796,25.91,657,2430.041667,0,0,1
2784,0.1568,10.73630972,4.04,667,3389.958333,0,0,0
3343,0.1189,10.82972862,16.87,687,2314.958333,0,0,0
2706,0.1316,10.71441777,3.97,732,2789.0,1,0,1
7382,0.1422,11.77528973,0.6,667,5940.0,0,0,0
7539,0.1459,11.79810441,12.48,692,6630.0,3,0,1
8876,0.1695,11.48600638,5.02,677,780.0416667000001,1,0,0
3423,0.0768,11.09741002,8.04,777,11099.95833,0,0,0
5996,0.0894,10.69194491,8.97,747,3907.041667,1,0,0
8427,0.1324,10.95080655,3.37,652,750.0,0,0,0
8093,0.1501,10.55581274,21.81,657,3180.041667,3,0,1
68,0.1375,10.46310334,17.38,707,2699.958333,0,0,0
2703,0.08,11.30220443,9.87,782,5730.0,0,0,0
6674,0.1183,10.59663473,22.44,707,6270.0,1,0,0
3544,0.1158,10.82009823,8.09,727,3960.0,0,0,0
6734,0.1114,11.15434871,10.43,742,5226.041667,1,0,0
6606,0.1496,11.72803684,8.25,707,5228.041667,0,1,0
3134,0.1284,11.03495418,19.49,692,5219.958333,2,0,0
8354,0.1261,11.26076496,16.72,667,10320.0,4,0,1
7502,0.1273,10.51867319,12.16,722,4740.0,0,0,0
2983,0.08,11.81303006,6.82,792,4710.0,2,0,0
2333,0.0963,10.66895539,22.02,752,2807.041667,0,0,1
5973,0.0859,10.99406767,20.32,742,3990.0,0,0,0
3610,0.1189,10.93310697,15.26,712,4620.0,3,0,0
386,0.1046,10.81977828,5.06,687,4464.0,1,0,0
6791,0.1218,11.19821472,21.11,687,5310.041667,0,0,0
126,0.1122,10.30895266,20.4,742,3270.0,3,0,0
6207,0.1218,10.59663473,18.18,712,4770.0,1,0,0
7302,0.1273,11.40756495,22.75,697,5010.041667,3,0,0
2290,0.1411,11.00209984,18.92,697,2310.041667,1,0,0
2662,0.1284,11.01039864,10.27,682,4202.958333,0,0,0
1032,0.0945,10.12647109,11.38,722,1710.0,0,0,0
7561,0.1459,11.58058411,16.63,687,4170.041667,2,0,0
7687,0.1904,12.34583459,14.43,667,5970.041667,0,0,0
4875,0.1357,10.58882935,24.04,702,8850.0,0,0,1
5493,0.0774,14.12446477,0.62,782,4709.958333,2,0,0
9511,0.1357,10.30895266,9.44,712,5390.041667,4,0,0
1012,0.1292,11.31447453,9.06,662,6629.958333,1,1,0
9017,0.1726,11.35040654,17.08,727,5249.958333,9,0,1
3626,0.1505,11.22524339,18.82,687,2580.0,0,0,0
757,0.1166,10.59663473,18.78,697,2309.958333,0,0,1
1136,0.1008,10.77895629,3.33,702,5705.958333,0,0,0
2846,0.1442,11.00209984,20.64,712,4529.958333,1,0,1
5492,0.1183,12.22587527,6.29,727,7559.958333,1,0,0
619,0.0863,10.645424900000002,2.74,727,2310.041667,0,0,0
1010,0.1071,10.75790288,13.3,702,6060.0,1,0,1
4203,0.1218,11.184421400000002,24.73,692,5160.0,0,0,0
2690,0.1632,10.91508846,3.99,662,2189.958333,1,1,0
1333,0.1128,10.7711761,5.24,712,5699.958333,0,0,1
4942,0.1253,11.00209984,5.42,702,2129.958333,0,0,0
1589,0.1399,11.22524339,11.98,677,5160.041667,1,0,0
7533,0.0988,11.58988651,1.44,757,3509.041667,2,0,0
2898,0.08,10.57131693,6.65,752,2880.0,0,0,0
7579,0.0988,10.858999,11.28,722,2670.041667,1,0,0
7144,0.1062,10.49127422,22.43,722,2790.041667,0,0,1
7489,0.1025,11.08214255,13.22,757,2700.041667,0,0,0
598,0.0832,10.46367461,0.72,742,2767.041667,3,0,0
3882,0.0963,11.26446411,11.88,802,4290.0,1,0,0
5872,0.1392,10.66895539,18.45,672,5940.041667,0,0,0
6864,0.1183,11.00209984,8.92,707,2501.0,0,0,0
2600,0.0963,10.69194491,4.99,732,4260.0,0,0,0
2631,0.0932,10.94192512,5.71,787,3570.0,2,0,0
2543,0.1284,10.30881932,1.72,702,3450.0,3,0,0
4304,0.0894,11.03488966,13.28,747,5550.0,2,0,0
3353,0.1411,9.998615897999999,10.47,672,4620.0,1,0,0
2199,0.1411,10.91501573,16.52,682,7950.041667,1,0,0
3437,0.1158,10.30895266,19.96,712,1830.0,0,0,0
7482,0.1311,12.20607265,7.98,712,6330.041667,0,0,0
2785,0.0963,11.22524339,14.93,757,4109.958333,0,0,0
13,0.0714,11.51292546,6.5,747,4384.0,0,1,0
359,0.1488,11.23848862,7.11,667,3899.041667,0,0,1
5047,0.0859,10.27090459,15.96,732,1830.0,0,0,0
6262,0.1496,10.6873891,12.66,662,5250.041667,1,0,1
6038,0.0859,10.91508846,14.97,742,6990.041667,0,1,0
3681,0.1158,11.00209984,6.46,692,3812.958333,0,0,0
9105,0.1739,10.1266311,3.02,672,1422.0,4,0,0
8551,0.1418,10.40426284,9.2,647,4799.958333,1,1,1
6252,0.1183,10.59663473,9.6,732,9840.0,2,2,0
3621,0.0963,11.02353512,8.03,747,4562.958333,2,0,0
5403,0.0774,12.20607265,2.52,762,9270.0,2,0,0
9390,0.1218,10.37349118,10.31,712,3240.0,5,0,0
8579,0.1734,10.46310334,26.78,652,4230.0,5,1,1
6900,0.1114,11.9511804,16.56,722,4560.041667,0,0,0
4412,0.0894,10.66895539,11.0,742,8879.958333,0,1,0
2249,0.1347,10.85892207,12.44,707,2700.041667,0,0,1
7955,0.0933,11.251560699999999,16.29,717,3480.0,16,0,0
9156,0.1158,12.20607265,4.85,762,14009.958330000001,2,0,0
64,0.0807,11.49272276,8.52,752,4979.958333,0,1,0
3668,0.1221,11.3736634,0.07,722,4949.958333,0,0,0
4894,0.0774,10.211119300000002,1.46,787,5490.0,4,0,0
2997,0.1411,11.22524339,15.63,672,4469.958333,0,0,0
4429,0.1148,10.71894086,21.48,742,3708.0,1,0,0
7102,0.1459,10.13062313,1.96,677,4682.0,0,0,0
2363,0.1442,11.15619338,21.21,692,5730.041667,1,0,0
8036,0.1438,11.31447453,21.03,672,5160.041667,11,1,0
5854,0.1565,11.08214255,13.88,747,5370.0,1,0,0
6646,0.1739,11.75194237,11.39,662,4740.0,0,2,0
8325,0.1513,11.53272809,5.93,642,2501.041667,3,0,0
680,0.1229,10.55581274,9.31,687,5670.041667,0,0,0
7506,0.1273,10.75790288,2.04,687,3930.041667,1,1,0
800,0.1324,10.81961827,24.89,712,2418.0,3,1,0
8417,0.1261,10.65112292,2.22,662,450.0,0,0,1
3757,0.0932,10.46310334,7.85,737,3210.0,2,0,0
822,0.1071,10.44290063,13.33,717,4560.0,0,0,0
326,0.1236,10.59653473,9.48,662,4080.041667,3,0,0
5737,0.1322,10.71441777,15.36,682,3870.0,1,0,1
7447,0.0788,10.37349118,11.93,767,3600.0,0,0,0
8966,0.1568,11.87756858,12.61,737,5310.041667,8,0,0
2957,0.16,11.1123882,16.25,667,4859.958333,2,1,0
9537,0.1607,10.64998591,16.64,672,5910.0,7,0,0
3409,0.1442,11.00209984,3.68,667,14133.0,1,2,0
314,0.092,10.08580911,18.65,727,3455.041667,2,1,0
5328,0.1357,10.49127422,7.83,667,3509.958333,0,0,0
4016,0.1253,11.05564061,10.05,737,6029.958333,1,0,0
4525,0.1322,10.91508846,9.77,672,5250.0,3,0,0
545,0.1103,10.11070495,9.17,692,4110.0,0,1,0
3085,0.1158,10.81977828,3.89,732,1650.0,1,0,0
172,0.0775,9.952277717000001,6.34,752,3029.0,0,0,0
5946,0.1496,11.46813728,16.49,692,5910.041667,1,0,0
9516,0.0988,11.73606902,7.97,727,4350.0,4,0,0
5162,0.0894,10.1266311,18.05,742,3090.0,1,0,1
8295,0.1134,9.798127037,3.67,687,567.0416667000001,3,0,1
7620,0.1311,9.61580548,3.44,702,6000.041667,0,0,0
2969,0.1379,10.49127422,12.3,732,8130.958333,1,0,1
6609,0.1322,10.92593848,20.7,687,2280.041667,3,0,0
915,0.0976,10.69194491,18.38,722,4393.958333,1,0,0
737,0.0945,11.15625052,9.38,722,1859.0,0,0,0
2559,0.1379,9.952277717000001,11.43,682,3150.0,2,0,0
7410,0.1099,11.184421400000002,11.68,732,2760.041667,1,0,0
1891,0.1253,10.90778916,9.12,702,3240.0,2,0,0
1731,0.1442,9.680344001,21.6,702,7170.041667,2,0,1
8092,0.1343,11.00209984,2.16,662,3360.041667,6,0,1
860,0.1166,11.00209984,19.22,687,4530.0,1,0,0
9418,0.1531,10.71441777,21.95,677,4770.0,4,0,0
3745,0.16,10.77895629,13.26,667,1710.0,3,0,0
4272,0.1148,11.08214255,11.11,722,4380.0,0,0,0
6914,0.1645,10.91508846,16.97,682,6330.041667,0,0,1
8014,0.1501,12.128111099999998,24.59,697,6510.0,7,0,1
6185,0.1183,11.29476946,23.67,697,7380.041667,3,0,1
2002,0.1189,11.15619338,18.28,717,6960.0,1,1,0
5926,0.0859,11.02451344,10.21,747,3330.041667,0,0,0
1375,0.0938,10.91508846,6.41,737,2459.958333,2,0,1
6915,0.1531,11.74403719,12.13,702,4530.041667,2,0,1
3367,0.0963,11.05089001,17.54,767,4589.958333,0,0,0
3956,0.1062,10.08580911,21.6,707,4800.0,0,1,0
3959,0.1126,11.21187442,15.31,742,5580.0,2,0,0
897,0.1292,11.32659589,14.24,707,8670.0,0,0,0
1556,0.0907,10.77895629,14.6,742,7350.041667,0,0,0
9301,0.1357,11.00209984,21.22,712,5039.958333,4,0,1
6460,0.1635,10.49127422,3.73,672,1860.0,0,0,0
5752,0.1496,11.91839057,0.24,682,3738.041667,1,0,0
2396,0.1663,11.03811028,22.98,672,2310.0,0,0,0
1844,0.1474,10.69194491,18.3,667,4620.041667,1,0,0
9525,0.1311,10.29552964,2.35,682,4530.041667,4,0,0
8306,0.1513,11.58988651,27.63,682,6690.041667,9,0,1
3588,0.1253,10.71441777,11.17,687,3479.958333,0,0,0
1840,0.0963,11.77525896,7.38,727,5490.0,1,0,0
8918,0.1189,11.35040654,7.31,722,4380.0,5,0,1
9188,0.1347,10.23995979,16.54,697,1470.0,4,0,1
8007,0.0964,11.09741002,0.0,742,1620.041667,9,0,0
2039,0.1442,10.448714599999999,7.58,687,1320.041667,1,0,0
7592,0.1025,11.00209984,15.64,702,2310.041667,0,0,0
6565,0.1322,11.48246626,20.1,712,4358.0,2,0,0
1607,0.1715,11.21182037,19.83,667,3690.041667,3,0,0
7119,0.1025,11.03488966,16.32,752,2130.0,0,0,0
4621,0.1461,10.727663,22.03,672,4679.958333,1,0,0
2175,0.1379,10.71441777,6.72,697,3841.041667,0,0,0
7490,0.1136,11.9871063,5.27,707,7200.041667,1,0,0
8680,0.1008,11.56171563,13.37,712,5279.958333,6,0,0
8644,0.1134,9.392661928999999,20.4,697,990.0,3,0,1
8096,0.1722,10.54534144,9.76,642,3690.0,0,0,0
7036,0.1392,10.54534144,5.68,687,1650.041667,1,0,0
3480,0.1442,10.51856508,8.82,667,3240.0,1,0,0
4178,0.1287,11.26446411,6.26,702,5249.958333,2,0,0
789,0.0976,11.69524702,8.91,792,8129.958333,1,0,0
7807,0.1691,11.15625052,1.35,637,780.0,1,0,1
766,0.1039,11.08795638,14.82,767,6420.0,1,0,0
2572,0.0768,11.41861479,9.77,752,4109.958333,2,0,0
5570,0.1357,10.22557105,9.87,672,2099.958333,2,0,0
806,0.0976,10.4341158,1.52,707,2579.958333,1,1,0
330,0.0743,11.12714533,9.99,767,8190.041667,1,1,0
1151,0.0976,11.28983191,17.01,712,3479.958333,1,0,0
9378,0.1183,9.903487553,16.74,717,4350.0,4,0,0
4986,0.1183,11.15619338,23.33,707,5069.958333,3,0,0
5805,0.0894,10.93310697,16.76,752,5071.0,0,0,0
7248,0.1099,10.54534144,9.0,742,1620.041667,3,0,0
7189,0.1385,11.3409502,21.72,712,5250.041667,0,0,0
7773,0.1249,10.34174248,9.56,662,780.0,1,0,0
2582,0.08,11.05089001,10.82,717,3210.0,1,0,0
1900,0.1316,11.06663836,7.97,697,3150.041667,0,0,0
8606,0.1324,11.253300999999999,19.96,662,3210.0,5,0,0
8947,0.1411,11.15625052,19.05,692,3960.041667,4,0,0
6353,0.0859,10.91508846,10.69,757,9960.041667,1,0,0
3646,0.1158,12.61153775,6.93,762,10679.95833,1,0,0
3185,0.1189,11.08214255,16.52,712,3150.0,3,1,0
4923,0.1426,10.60905725,20.83,697,1260.0,2,0,0
3230,0.1442,10.34174248,20.48,672,2070.0,0,0,0
2665,0.1379,10.71441777,24.75,697,4829.958333,1,0,1
1216,0.09699999999999999,11.03488966,3.31,707,12150.0,1,0,0
7887,0.1312,10.46310334,3.94,647,1739.9583329999998,0,2,0
5772,0.1218,11.22524339,6.96,732,8703.0,0,1,0
9481,0.1287,11.56347598,5.59,732,7320.0,6,0,0
8855,0.1493,10.30895266,10.72,662,1950.0416670000002,5,0,0
3375,0.0963,10.95080655,20.74,777,6060.0,2,0,0
