int.rate,log.annual.inc,dtai,fico,days.with.cr.line,inq.last.6mths,delinq.2yrs,default
0.087,11.03488966,12.23,737,2729.958333,0,0,0
0.1217,10.46310334,7.1,662,2944,2,0,0
0.1533,11.00209984,19.52,667,2700.958333,2,0,0
0.0775,11.03165864,3.46,747,2519,0,0,0
0.1533,11.40756495,5.24,662,1770,0,0,0
0.0964,11.47210347,2.86,737,2190,0,0,1
0.1154,9.61580548,12.24,672,1289.958333,3,0,1
0.1122,10.30895266,12.36,682,1770,0,0,0
0.087,11.91839057,4.8,767,13349.95833,0,0,0
0.1122,11.38509209,18,702,3725,2,0,0
0.0807,11.05089001,3.49,792,5939,1,0,0
0.0775,10.71441777,5,762,2131,2,0,0
0.1154,12.32385568,20,727,10292,2,0,0
0.0807,12.06104687,0.72,787,8010,3,0,0
0.0807,11.40756495,2.44,792,8717.958333,0,0,0
0.0933,11.44035477,9.66,792,4529,3,0,0
0.0712,11.6784399,0.43,772,5936,0,0,0
0.1186,10.71441777,2.8,667,5460,0,1,0
0.1501,11.47210347,16.89,702,4080,0,0,1
0.0807,11.91839057,5.84,792,5364.958333,0,0,0
0.0933,11.22524339,9.55,762,5699.958333,1,0,0
0.0807,11.35040654,3.11,797,5363.958333,0,0,0
0.1217,11.15625052,10.2,672,3598.958333,0,1,1
0.1028,10.71441777,5.87,692,1741.958333,0,0,0
0.1249,10.04324949,5.01,662,1110,3,0,0
0.1028,11.69524702,14.4,722,4679.958333,1,0,0
0.1059,10.95080655,7.22,712,5519,1,0,0
0.1438,11.1844214,17.83,687,1289.958333,1,0,0
0.0743,11.69524702,0,772,3929.958333,1,0,0
0.0712,11.60823564,0.22,812,16213,0,0,0
0.1565,11.42954386,1.53,667,3603.958333,1,0,0
0.1059,9.852194258,8.15,692,3089.958333,0,0,0
0.1122,10.3859137,22.15,747,2788.958333,0,0,0
0.1122,10.81977828,18.38,707,3359,1,0,0
0.1375,11.03811028,9.8,677,3089.958333,3,0,1
0.1467,10.95080655,20.76,667,3750,0,1,0
0.1028,11.37710574,10.6,692,2489.958333,0,0,0
0.1249,10.57131693,5.08,667,3690,3,0,1
0.0743,11.35040654,2.64,782,9210,0,0,0
0.1028,10.727663,3.26,687,6509.958333,1,1,1
0.1122,10.9525594,13.77,682,2160,0,0,0
0.1312,10.59663473,20.67,692,5250,3,1,0
0.1122,10.30895266,20.4,742,3270,3,0,0
0.0807,10.91508846,12,797,8790,1,0,0
0.1091,10.49127422,9.87,707,1560,0,0,0
0.1028,11.40756495,9.13,697,3300,0,0,0
0.1217,9.210340372,0,662,2250,2,1,1
0.1249,11.35040654,6.38,667,7229.958333,3,4,0
0.1438,13.08154138,2.4,697,2759.958333,3,1,0
0.1028,10.34174248,24.81,767,5789.958333,2,0,0
0.1249,9.433483923,14.4,662,1469,1,0,1
0.0838,11.56171563,9.71,752,3508.958333,0,0,0
0.0901,11.69524702,12.16,742,9719.958333,0,0,0
0.0933,11.03488966,3.83,702,3690,1,0,0
0.0807,10.89673933,6.29,742,5100,0,0,0
0.0996,10.37349118,1.13,677,1920,2,0,0
0.1249,10.2791805,12.77,662,1110,3,1,1
0.128,10.50232405,18.92,682,2219,1,0,0
0.1091,10.57131693,11.78,707,4889,0,0,1
0.0996,10.46310334,5.83,687,2158.958333,2,0,1
0.0996,9.798127037,15.4,707,11248.95833,1,0,0
0.1059,11.00209984,8.14,707,4800,1,0,1
0.0964,11.15625052,18,732,3691,2,0,0
0.0807,10.79957558,9.89,772,9870,0,0,0
0.0964,11.15625052,17.57,737,5429.958333,1,0,0
0.1154,10.71441777,17.76,717,1500,0,0,0
0.1312,11.35040654,16.87,707,9059.958333,0,0,1
0.1028,10.92233487,10.05,692,1890,0,0,0
0.1059,9.61580548,24.4,737,3209.958333,3,0,0
0.1154,10.1266311,18.19,672,2586,0,1,0
0.0901,10.95080655,8.93,822,9696.958333,0,0,0
0.0996,11.33857208,4.84,727,6330,2,0,0
0.1028,10.54534144,19.93,687,2580,0,0,0
0.1154,10.81977828,8.04,672,3089,1,1,0
0.1091,10.75177778,16.39,692,5640,2,0,0
0.0775,11.15625052,9.09,797,6089.958333,1,0,0
0.128,11.22524339,24.85,722,6330,3,0,1
0.1059,11.59910316,24.01,767,4665.958333,2,0,1
0.1186,10.858999,11.31,667,1560,1,0,0
0.0964,11.26446411,0.8,732,2129.958333,1,0,0
0.1091,11.69524702,16.97,697,9659,3,0,1
0.0901,12.52452638,2.97,712,4919,2,0,1
0.0838,10.30895266,4.2,737,1560,1,0,0
0.1091,9.574983486,8.92,672,1140,1,0,0
0.1059,11.05879518,8.5,682,6839.958333,1,0,0
0.0996,11.66134547,13.07,727,10529.95833,0,0,0
0.147,10.1266311,3.84,632,1530,1,1,0
0.0901,10.62132735,15.37,747,7500,2,0,0
0.0775,9.952277717,6.34,752,3029,0,0,0
0.0996,11.03488966,11.98,682,1799,0,0,0
0.0712,11.44035477,0,812,8250,0,0,0
0.1091,11.09741002,19.82,677,4290,1,1,0
0.1154,10.20359214,10.8,682,5050,0,0,0
0.1091,10.46310334,15.74,692,1500.041667,2,0,0
0.0775,10.858999,9.55,767,12960.04167,0,0,0
0.1028,10.46310334,7.51,687,2795,0,0,0
0.1028,11.38509209,11.95,702,5070,0,0,0
0.1028,10.30895266,7.88,687,5130.041667,0,0,0
0.1122,10.83958091,18.68,682,1889.041667,2,0,1
0.0775,9.903487553,10.26,757,6330.041667,0,0,0
0.1154,11.46163217,1.83,667,3421.041667,1,0,0
0.0743,11.13730067,6.11,777,7440.041667,3,0,0
0.0933,11.00209984,0.82,767,2100,0,0,0
0.0901,13.33100224,3.83,782,3660,5,0,1
0.087,10.69194491,18.71,747,3630,0,0,0
0.1091,11.28978191,17.17,677,3840.041667,0,0,0
0.1091,11.28978191,9.23,687,2519,0,0,0
0.1186,11.91839057,20.48,687,4452.041667,1,0,0
0.0743,11.46163217,1.2,812,16259.04167,0,0,0
0.1028,9.392661929,16.7,687,2069,3,0,1
0.0996,11.42954386,6.48,712,5610.041667,1,0,0
0.1059,11.03488966,17.81,682,6330.041667,2,0,0
0.1122,10.40134951,22.79,682,9389,2,0,0
0.0807,9.798127037,4.27,722,1470,0,0,0
0.1091,12.20607265,10.7,697,7320,1,0,0
0.087,11.9381932,0.12,757,1128.041667,0,0,0
0.1122,10.65725935,14.6,677,3630,1,0,0
0.1154,10.70099475,12.16,682,2130,1,2,1
0.0743,11.1844214,11.18,757,4500.041667,5,0,0
0.0775,10.77895629,13.53,787,10260.04167,3,0,0
0.1186,10.59663473,7.02,667,2789.041667,0,2,1
0.1028,10.69194491,15.3,692,4410,1,3,1
0.1028,10.81977828,11.88,702,7020.041667,0,0,0
0.0996,11.19134184,10.28,702,4920.041667,3,0,1
0.087,10.08580911,19.45,757,3870.041667,2,0,0
0.1217,10.42228135,23.96,712,3030.041667,1,0,0
0.1217,11.61045137,18.3,682,4379,1,0,0
0.1217,10.20359214,23.2,702,5279.041667,1,0,1
0.1186,10.858999,9.74,712,4859.041667,0,0,0
0.1091,10.858999,17.56,707,8061,0,1,0
0.087,10.93131966,11.51,747,6240.041667,2,0,0
0.0933,10.6454249,16.09,707,2220,0,0,0
0.1091,10.49127422,4.67,697,1410,2,0,0
0.0996,10.54534144,3.38,697,1782,2,0,0
0.1186,11.36674295,15.1,682,3900,0,0,1
0.087,10.08580911,6.15,722,1350,0,0,0
0.1059,10.30895266,19.84,702,2042.041667,1,0,0
0.1249,10.858999,4.98,662,6630.041667,1,0,0
0.1154,11.47210347,17.81,707,3629,2,0,1
0.0743,10.66895539,1.65,777,2879,0,0,0
0.1028,11.48246626,5.58,697,4800.041667,0,0,0
0.087,10.77895629,0.38,717,12930.04167,2,1,0
0.1217,11.00209984,19.28,672,4740,2,0,1
0.1028,11.22524339,9.7,682,12780,0,3,0
0.0964,11.00209984,12.94,697,2969.041667,3,0,0
0.1059,11.58988651,11.96,707,5070,0,0,0
0.1375,10.75790288,24.08,667,2820,1,0,0
0.0901,9.875088078,10.37,712,1230.041667,0,0,0
0.128,10.98189713,7.51,662,4109.041667,3,0,0
0.1217,10.71441777,19.19,692,4440.041667,1,3,1
0.0933,10.50780352,2.69,697,4680,2,0,0
0.0996,10.1266311,14.16,692,1918.041667,0,0,0
0.128,11.03488966,19.22,677,3060.041667,2,0,0
0.1438,11.28978191,20.79,682,3059.041667,3,0,1
0.0838,11.2515607,7.96,772,5909.041667,0,0,0
0.1091,11.22524339,10.34,697,2669.041667,1,0,0
0.0964,9.878169745,21.23,772,5881,0,0,0
0.128,10.49460201,8.47,662,2670.041667,2,0,1
0.1217,10.08580911,14.5,672,1950.041667,0,0,0
0.1186,10.82774645,17.02,672,4380,3,0,0
0.0964,11.22524339,17.06,767,5691.041667,4,0,1
0.1091,11.16368368,18.96,692,5430,1,1,0
0.1249,11.27545477,7.99,692,4739,0,1,0
0.0775,10.08580911,6,752,2729.041667,0,0,0
0.1028,10.77895629,17.65,687,2070,2,0,0
0.1407,11.69524702,12.81,677,5340.041667,0,0,0
0.1091,11.19821472,22.13,737,9900,1,0,1
0.1596,10.46287474,20.82,667,6750.041667,3,1,0
0.0933,11.00209984,9.96,732,2732.041667,1,0,0
0.1312,11.56171563,18.25,667,4358,2,0,0
0.128,10.14564911,18.65,662,1380,0,1,0
0.0996,10.89857098,3.77,722,6149,0,0,0
0.1154,10.83863929,9.14,667,3990,0,0,0
0.0933,10.1266311,0,712,3360.041667,0,1,0
0.0964,10.77895629,9.78,742,2550,4,0,0
0.1091,11.61728548,10.86,687,3420.041667,0,0,0
0.0743,10.62861778,2.32,772,2610.041667,0,0,0
0.0933,11.51292546,1.57,762,6359.041667,5,0,1
0.0933,10.50506754,19.46,727,4470.041667,2,0,1
0.0964,8.517193191,18,702,1200.041667,2,0,0
0.0964,9.798127037,2.87,697,1199.041667,1,0,0
0.1407,11.81303006,3.66,672,5790,2,3,1
0.0712,11.69524702,0.65,792,3810.041667,1,0,0
0.0901,11.51961693,6.64,722,10290.04167,0,0,0
0.1249,11.00209984,4.64,662,2222,0,2,1
0.1438,11.32659589,16.05,667,2190,0,0,0
0.0964,11.1124479,3.6,712,2850,0,1,0
0.147,11.3736634,5.79,677,4739,2,0,1
0.0807,10.89673933,10.44,767,3449.041667,1,0,0
0.0743,10.28793329,3.96,767,3930,1,0,0
0.0775,10.08580911,2.4,742,2290.041667,1,0,1
0.1375,11.22524339,19.78,687,2399.041667,2,0,1
0.1059,10.59600954,12.1,687,4019,3,2,0
0.1438,10.65725935,15.7,672,3690,0,0,0
0.1122,10.55986701,14.04,702,1800,3,0,0
0.128,11.48440253,12.43,667,2580,3,0,0
0.0964,10.12502982,8.17,712,3300,0,0,0
0.0996,11.51292546,8.17,707,3839.041667,2,0,0
0.0838,11.58058411,2.28,742,4740,2,0,0
0.1059,10.16277015,5.56,682,1350.041667,2,0,0
0.0807,9.980448594,10.33,742,1920.041667,1,0,0
0.0933,11.13663073,7.47,717,5580.041667,0,2,0
0.1343,10.49127422,17.4,667,10380.04167,0,1,0
0.1217,11.69524702,6.81,662,2041.041667,0,0,0
0.0933,11.53272809,16.95,747,3630,2,0,0
0.0901,9.210340372,6.72,707,3329,3,1,0
0.0901,11.17043516,6.88,742,4589.041667,0,0,0
0.0807,11.03488966,14.07,792,7867.041667,0,0,0
0.1122,9.893437217,23.03,717,2580,0,0,1
0.0996,11.21171226,13.28,732,1770,1,0,0
0.0712,11.01205017,1.19,797,6270.041667,0,0,0
0.0996,10.96819829,21.93,727,4593.041667,2,0,0
0.1154,9.998797732,24.71,707,1291.041667,0,0,0
0.0964,11.62625415,10.36,702,6119,2,0,1
0.0933,11.62625415,13.46,702,6120,2,0,1
0.0901,11.69524702,4.28,722,4080.041667,1,1,0
0.1122,10.80972795,0,672,2519,1,1,0
0.0807,10.59663473,16.68,737,6988,0,0,0
0.0964,10.59663473,4.05,717,2759.041667,3,0,0
0.0996,10.16585182,6.14,697,2040.041667,1,0,0
0.0743,13.16542287,2.45,762,6240,5,1,0
0.1014,11.69524702,8.71,687,2311.041667,1,1,0
0.1046,11.69524702,11.28,692,5018.041667,1,0,1
0.0743,11.04292184,5.82,772,5430,0,0,0
0.133,9.798127037,22,662,1470,3,1,0
0.133,10.20359214,7.16,662,1530.041667,1,1,1
0.0983,11.47210347,2.69,712,4709,0,0,0
0.1393,10.54534144,20.72,662,7109.041667,1,1,1
0.0838,9.392661929,0,737,1139,1,0,0
0.133,10.81977828,17.04,662,6179,3,0,0
0.092,10.08580911,18.65,727,3455.041667,2,1,0
0.0743,11.00209984,1.72,807,7230,1,0,0
0.1236,11.79810441,13.42,687,3420.041667,0,0,0
0.1236,10.81977828,8.66,662,6839.041667,1,0,1
0.1014,10.59663473,17.01,752,4349,2,0,0
0.1362,10.80972795,1.21,672,2519,0,1,0
0.1078,11.00209984,14.26,702,6780.041667,0,0,0
0.0807,10.11050172,9.95,752,5167,1,0,0
0.1583,11.69524702,18.08,677,3330,2,2,0
0.1362,10.30895266,21.88,667,1601.041667,0,0,0
0.1236,10.77895629,0.85,682,2579,1,0,1
0.1014,11.38845009,13.73,732,5489,0,0,0
0.1236,10.59653473,9.48,662,4080.041667,3,0,0
0.0838,11.58058411,8.16,757,5790,1,0,0
0.0712,10.26813067,0,777,3034.041667,1,0,0
0.1236,9.757305042,4.58,662,3840.041667,2,0,0
0.0743,11.12714533,9.99,767,8190.041667,1,1,0
0.0838,9.893437217,2.36,722,5790,1,0,0
0.1109,10.63344871,19.32,702,2849,0,0,0
0.0743,11.69524702,7.67,762,6007.041667,1,0,1
0.1078,11.02190247,14.06,702,5700.041667,2,0,1
0.1141,11.27090486,14.03,692,4470.041667,3,1,0
0.1236,10.727663,15.53,677,1848,1,0,0
0.0838,11.15051985,14.03,762,5519,5,0,0
0.0807,11.02190247,17,762,5340.041667,4,0,1
0.0838,10.46493024,18.96,742,2190,0,0,0
0.1267,11.42081018,10.13,677,5280.041667,0,1,1
0.1204,11.05089001,12.5,667,3300,3,0,0
0.0951,11.60823564,16.87,722,8519.041667,1,0,0
0.1014,10.77895629,0,692,5160,0,0,0
0.092,11.25480219,5.93,727,4800,0,0,0
0.1078,10.50506754,7.76,687,2010.041667,0,0,0
0.1172,10.57821615,17.2,667,1410,0,1,0
0.1141,9.878169745,3.69,667,8820,0,0,0
0.0775,10.96127785,1.33,767,2485.041667,0,0,0
0.1109,11.1844214,5.12,687,1949.041667,0,0,1
0.0838,11.22524339,6.06,742,3149.041667,0,0,0
0.1204,10.70738554,16.06,677,1949.041667,0,0,0
0.0775,10.49127422,2.73,742,2550,0,0,1
0.0775,10.81769612,10.37,767,4410,0,0,0
0.1014,10.30895266,19.76,702,4529.041667,0,0,0
0.1141,11.1844214,14.65,682,3329,0,0,0
0.1299,10.77895629,18.98,682,4830.041667,1,0,1
0.1078,10.54534144,14.84,677,4140.041667,0,0,0
0.1204,10.75790288,17.95,677,2609,0,0,0
0.1488,11.23848862,7.11,667,3899.041667,0,0,1
0.0951,11.08214255,2.14,777,4559.041667,6,0,0
0.0983,9.980448594,4.83,712,1620.041667,0,0,0
0.0838,10.54796956,13.1,767,7560.041667,0,0,0
0.1267,10.77895629,13.1,662,9659.041667,0,0,0
0.1078,10.49127422,7.93,692,2429.041667,0,0,0
0.1267,11.00209984,20.06,697,4560.041667,0,0,0
0.092,12.01370075,0.33,732,3600,0,0,0
0.0951,10.38887228,15.84,717,1800,1,0,0
0.152,11.22524339,21.84,677,2640.041667,0,1,0
0.0775,11.65702581,2.89,807,5160,1,0,0
0.0807,11.00209984,9.58,757,13109,1,0,0
0.1425,10.77895629,19.05,667,6209,0,0,0
0.1046,10.16585182,14.17,692,4919.041667,0,0,0
0.1204,10.71441777,21.33,697,4710,1,0,0
0.0951,10.91508846,7.59,722,2340.041667,1,0,0
0.1836,11.33857208,23.04,662,6690.041667,3,0,0
0.1172,10.49127422,11.9,677,2970,3,0,0
0.1014,11.33857208,19.86,742,2763.041667,4,0,0
0.1172,11.03488966,20.09,697,6392.041667,0,0,0
0.1078,10.37349118,0.38,682,1290.041667,0,0,0
0.1299,10.86856845,17.94,667,3269,2,0,1
0.1299,10.66895539,14.82,677,8159.041667,2,2,0
0.0775,10.08580911,0,787,3809.041667,0,0,1
0.1078,9.308283446,19.15,692,2399.041667,2,0,1
0.1078,10.52406404,12.58,702,2130,0,0,0
0.092,10.51867319,16.74,727,4590.041667,1,0,0
0.1046,10.81977828,5.06,687,4464,1,0,0
0.1172,11.00209984,0,672,2520,1,0,0
0.133,10.71441777,4.67,662,2849,1,0,1
0.1172,11.03488966,19.29,677,4319,3,0,1
0.0838,10.60905725,12.5,727,2550,0,0,0
0.0712,10.46310334,11.59,772,5970.041667,0,0,0
0.133,11.69524702,6.31,662,6150,0,0,1
0.1204,11.51292546,15.82,682,9150,1,2,0
0.1267,11.40756495,13.04,697,5100,0,1,0
0.092,11.03488966,13.12,742,5250.041667,1,0,1
0.0951,10.34174248,16.49,747,4260.041667,0,0,0
0.1014,10.69194491,9.79,732,5940.041667,0,0,0
0.0951,11.38586452,9.96,732,5250.041667,0,0,0
0.1583,11.22524339,15.38,662,3420.041667,0,2,0
0.1078,11.35040654,1.78,687,9480,1,1,0
0.1014,11.22524339,16.54,722,4800,0,0,1
0.1046,11.65702581,16.2,732,5129,2,0,0
0.0838,12.07254125,15.11,742,4919.041667,6,0,0
0.1204,11.51292546,14.32,677,4439,1,0,0
0.1615,11.6351431,24.84,682,7619,0,1,1
0.1141,10.96578158,10.14,702,5999.041667,1,0,0
0.1172,12.20607265,15.46,692,6629,0,0,0
0.1014,10.81977828,8.78,702,3946,0,0,0
0.1109,10.73639668,11.37,677,2729.041667,1,0,0
0.1236,11.35040654,21.8,677,5069,1,0,0
0.1141,12.8346813,0.63,702,6330.041667,2,0,0
0.1014,10.49127422,7.07,697,1560.041667,2,0,0
0.1393,11.1844214,22.57,662,2940,2,0,0
0.133,10.47005058,24.79,697,5569,1,0,1
0.1078,11.28978191,7.56,697,4980.041667,1,1,1
0.0775,10.08580911,10.1,782,5400,1,0,0
0.092,10.59663473,10.14,747,7800.041667,1,0,0
0.0838,11.08214255,7.26,757,5580.041667,0,0,0
0.0775,11.00209984,9.2,797,6270,0,0,0
0.133,10.81977828,20.42,692,7710,2,1,0
0.1236,11.46163217,16.07,702,2580,2,0,1
0.1109,10.37349118,4.8,697,3480.041667,1,0,1
0.1172,11.09741002,2.42,682,6329.041667,1,0,0
0.1078,11.14908203,16.51,692,5009.041667,0,0,0
0.1109,11.40756495,17.11,722,6539,0,0,0
0.1078,11.26446411,16.75,692,4290.041667,0,2,0
0.1078,11.58058411,16.37,682,9960.041667,1,0,0
0.1078,11.60823564,18.58,702,7230,0,0,1
0.0775,10.00784757,5.24,792,5010.041667,0,0,0
0.1141,11.19821472,21.01,692,2580,0,0,0
0.0807,9.903487553,8.88,782,8160.041667,1,0,0
0.0983,11.1844214,8.98,757,4619.041667,6,0,0
0.1046,12.13384061,1.88,727,10199,2,0,0
0.1078,10.81977828,15.5,687,8369,0,2,0
0.1141,10.59663473,15.93,692,3539.041667,0,0,0
0.1172,10.91871823,12.85,682,2670.041667,1,0,0
0.1362,10.30895266,19.52,667,4412,0,0,0
0.1078,11.21989579,8.22,697,3707,1,0,0
0.0838,10.34174248,10.61,722,7089.041667,1,0,0
0.0951,11.14186178,11.29,767,9179,3,0,0
0.0983,11.26446411,15.74,722,4379,0,0,0
0.092,12.37581542,2.7,792,9029.041667,2,0,0
0.092,10.91508846,12.28,747,7380,1,0,0
0.0838,11.06663836,5.25,772,3540.041667,4,0,1
0.1488,11.08214255,23.89,672,7260,1,2,0
0.1425,10.77895629,2.1,672,3870.041667,2,0,0
0.092,10.46310334,1.03,727,1230.041667,1,0,0
0.1204,12.21602298,17.08,682,5820,3,0,0
0.0775,11.08214255,9.25,757,5010.041667,0,0,0
0.0743,10.40426284,10.04,772,3630,1,0,0
0.0983,11.06663836,0.58,712,5430,0,1,0
0.133,10.81683395,24.22,692,6509,0,1,0
0.06,11.04292184,15.28,687,4652.041667,3,0,0
0.0983,10.1266311,16.75,732,4918.041667,0,0,0
0.0983,10.49127422,21.33,762,6300.041667,0,0,0
0.0807,10.30895266,3.68,732,2580,0,0,0
0.092,11.38509209,13.28,727,5836,3,3,0
0.0951,10.85127695,9.6,717,1469,2,0,0
0.092,10.71441777,4.88,732,4079,0,0,0
0.1393,10.6454249,19.71,667,2490,3,0,1
0.0775,10.95779958,12.86,802,5490,0,0,0
0.0951,11.28978191,0.22,767,8476,8,0,1
0.1172,10.47522952,15.38,697,1709.041667,3,0,0
0.1046,10.75790288,18.15,707,2309.041667,1,0,0
0.0983,10.77895629,11.93,717,6329.041667,0,1,0
0.1267,11.21182037,11.25,707,8100,0,0,0
0.1046,10.54534144,13.42,697,4080,3,0,0
0.0832,10.1266311,1.54,727,2010.041667,0,0,0
0.1261,10.46310334,19.71,692,3030.041667,1,0,0
0.0945,10.89673933,11.02,742,3285,5,0,0
0.0863,9.77246729,9.37,722,5099,1,0,0
0.0832,10.81977828,13.99,752,5040.041667,0,0,0
0.1324,11.31447453,15.12,672,5760.041667,1,2,0
0.1197,11.40863105,6.61,692,9570,0,0,0
0.0945,11.00209984,6.02,787,10860,0,0,1
0.1387,11.28522153,7.16,672,12554.04167,1,0,0
0.0863,9.798127037,14.38,722,1530,0,0,0
0.0976,9.903487553,4.68,737,3408.041667,0,0,0
0.1071,8.9751293,3.04,682,6929,2,1,0
0.1008,10.51867319,8.53,767,3346,3,0,0
0.1292,11.15625052,9.05,702,4530.041667,3,0,1
0.1039,10.66895539,17.47,702,3540.041667,0,0,0
0.08,10.77895629,14.08,792,4890.041667,1,0,0
0.0976,11.14186178,12.57,762,3420.041667,0,0,0
0.1008,10.6454249,5.91,727,4680,2,0,0
0.0863,10.57131693,11.2,722,2670.041667,3,0,0
0.1008,10.23995979,14.57,702,2490,0,0,0
0.0976,12.20607265,4.84,707,5760.041667,2,0,0
0.1197,11.32659589,3.92,682,3479.041667,2,0,0
0.1071,10.35456317,4.74,722,1290.041667,0,0,0
0.0976,10.22557105,17.78,717,1830,2,0,0
0.1039,10.71441777,5.57,707,4140.041667,0,0,0
0.0737,10.46310334,7.65,777,4620.041667,0,0,0
0.08,9.852194258,6.32,737,2981,0,0,0
0.1355,10.69194491,18.52,677,4800,2,0,0
0.0945,11.22524339,1.49,712,6220,0,0,0
0.1071,10.6454249,18.14,697,3091.041667,1,0,0
0.1229,10.49127422,14.77,672,4830,0,0,0
0.0768,11.52682837,0.83,777,8370,1,0,0
0.08,11.52682837,3.19,777,8370,1,0,0
0.0976,9.998797732,22.25,737,2404.041667,1,0,0
0.0832,10.98529272,7.08,767,13319.04167,0,0,0
0.1355,10.2797298,15.82,667,3539.041667,1,0,1
0.0945,10.81985828,17.33,737,2430.041667,1,0,0
0.1324,10.8036489,7.37,672,7020,0,2,0
0.0976,9.92329018,18.35,742,2879,1,0,0
0.1071,12.27839331,17.66,707,6630,0,0,0
0.08,10.04324949,12.05,742,1259.041667,4,0,0
0.0976,11.08214255,7.74,707,3509.041667,2,0,0
